area,time,手机银行,精准营销,电子商务,在线理财,网联
河北,2020-04-05,131,57,221,0,58
河北,2020-04-06,135,57,382,0,0
河北,2020-04-07,225,63,303,0,59
河北,2020-04-08,167,114,301,0,117
河北,2020-04-09,220,58,294,0,57
河北,2020-04-10,247,58,279,0,58
河北,2020-04-11,162,58,235,0,57
河北,2020-04-12,214,58,233,0,57
河北,2020-04-13,165,120,248,0,57
河北,2020-04-14,177,58,315,57,57
河北,2020-04-15,235,57,266,0,0
河北,2020-04-16,223,61,250,0,59
河北,2020-04-17,222,63,319,0,0
河北,2020-04-18,234,57,239,0,57
河北,2020-04-19,161,57,224,0,0
河北,2020-04-20,174,127,243,0,0
河北,2020-04-21,252,124,267,0,121
河北,2020-04-22,182,67,246,0,0
河北,2020-04-23,221,124,266,0,57
河北,2020-04-24,211,124,261,0,57
河北,2020-04-25,221,0,278,0,59
河北,2020-04-26,222,66,270,0,115
河北,2020-04-27,215,58,318,0,57
河北,2020-04-28,168,58,281,61,115
河北,2020-04-29,227,126,298,0,122
河北,2020-04-30,212,124,293,57,0
河北,2020-05-01,170,61,238,0,0
河北,2020-05-02,132,115,231,57,59
河北,2020-05-03,139,63,232,59,0
河北,2020-05-04,201,61,269,59,57
河北,2020-05-05,128,66,262,59,59
河北,2020-05-06,208,66,279,59,117
河北,2020-05-07,212,120,385,59,61
河北,2020-05-08,215,120,439,61,117
河北,2020-05-09,215,124,426,61,0
河北,2020-05-10,219,65,332,70,61
河北,2020-05-11,229,60,362,66,119
河北,2020-05-12,212,69,378,59,0
河北,2020-05-13,208,57,354,64,58
河北,2020-05-14,196,63,333,59,114
河北,2020-05-15,179,61,295,63,118
河北,2020-05-16,185,122,283,61,0
河北,2020-05-17,212,58,282,57,0
河北,2020-05-18,212,57,437,57,0
河北,2020-05-19,238,57,363,57,114
河北,2020-05-20,226,61,335,57,116
河北,2020-05-21,229,0,370,0,57
河北,2020-05-22,236,0,364,57,57
河北,2020-05-23,159,57,358,59,0
河北,2020-05-24,135,63,316,0,0
河北,2020-05-25,163,114,349,59,57
河北,2020-05-26,229,115,364,0,0
河北,2020-05-27,174,57,393,57,57
河北,2020-05-28,246,115,401,0,57
河北,2020-05-29,249,0,412,59,63
河北,2020-05-30,168,0,442,0,116
河北,2020-05-31,220,114,523,63,0
河北,2020-06-01,245,114,508,59,59
