area,time,移动支付,网上银行,电子银行,网银,互联网理财
天津,2012-06-11,61,172,0,123,0
天津,2012-06-12,57,157,59,106,0
天津,2012-06-13,59,183,0,133,0
天津,2012-06-14,61,173,59,133,0
天津,2012-06-15,57,208,64,139,0
天津,2012-06-16,57,186,59,112,0
天津,2012-06-17,61,193,57,137,0
天津,2012-06-18,0,176,61,104,0
天津,2012-06-19,0,169,64,121,0
天津,2012-06-20,63,188,57,123,0
天津,2012-06-21,61,161,0,118,0
天津,2012-06-22,64,190,59,158,0
天津,2012-06-23,61,161,0,110,0
天津,2012-06-24,57,172,0,112,0
天津,2012-06-25,64,188,63,139,0
天津,2012-06-26,64,200,63,144,0
天津,2012-06-27,59,179,59,110,0
天津,2012-06-28,61,208,59,159,0
天津,2012-06-29,0,191,0,104,0
天津,2012-06-30,0,208,0,114,0
天津,2012-07-01,63,215,61,133,0
天津,2012-07-02,64,219,57,106,0
天津,2012-07-03,59,195,0,146,0
天津,2012-07-04,59,166,57,114,0
天津,2012-07-05,0,159,0,110,0
天津,2012-07-06,59,158,57,133,0
天津,2012-07-07,0,159,0,114,0
天津,2012-07-08,61,148,0,112,0
天津,2012-07-09,61,175,0,116,0
天津,2012-07-10,57,162,57,125,0
天津,2012-07-11,59,172,59,125,0
天津,2012-07-12,0,169,59,121,0
天津,2012-07-13,59,150,0,129,0
天津,2012-07-14,0,129,59,121,0
天津,2012-07-15,61,152,59,129,0
天津,2012-07-16,59,170,59,137,0
天津,2012-07-17,63,175,59,131,0
天津,2012-07-18,59,190,59,139,0
天津,2012-07-19,57,177,0,121,0
天津,2012-07-20,61,168,59,133,0
天津,2012-07-21,61,144,59,129,0
天津,2012-07-22,57,157,59,118,0
天津,2012-07-23,61,182,57,127,0
天津,2012-07-24,59,175,63,112,0
天津,2012-07-25,64,154,63,146,0
天津,2012-07-26,61,161,59,155,0
天津,2012-07-27,63,155,0,142,0
天津,2012-07-28,59,183,59,150,0
天津,2012-07-29,57,154,57,110,0
天津,2012-07-30,66,201,57,137,0
天津,2012-07-31,61,173,59,151,0
天津,2012-08-01,66,190,61,114,0
天津,2012-08-02,57,180,0,148,0
天津,2012-08-03,57,198,59,106,0
天津,2012-08-04,66,152,0,131,0
天津,2012-08-05,57,142,59,125,0
天津,2012-08-06,59,168,0,125,0
天津,2012-08-07,61,172,57,129,0
天津,2012-08-08,59,154,61,110,0
天津,2012-08-09,59,162,0,129,0
天津,2012-08-10,68,179,57,121,0
天津,2012-08-11,57,151,57,110,0
天津,2012-08-12,59,166,0,125,0
天津,2012-08-13,59,158,59,135,0
天津,2012-08-14,72,150,61,120,0
